Ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
189,7608,34169,17699,16470,2939,1598,1341,3385,1738,1647,0,0,0,29258,15545,13713,4911,2154,2757,13477,10098,3379,12831,9674,3157,28,17,11,44,39,5,758,652,106,12001,8966,3035,646,424,222,4,3,1,13,10,3,37,26,11,592,385,207,585,381,204,4,3,1,12,9,3,35,25,10,534,344,190,61,43,18,0,0,0,1,1,0,2,1,1,58,41,17,20692,7601,13091
188,10871,55464,30450,25014,8500,4454,4046,5879,3145,2734,0,0,0,38688,23239,15449,16776,7211,9565,16610,15510,1100,16016,15064,952,19,17,2,40,39,1,250,218,32,15707,14790,917,594,446,148,4,4,0,4,3,1,25,5,20,561,434,127,469,357,112,4,4,0,3,2,1,21,5,16,441,346,95,125,89,36,0,0,0,1,1,0,4,0,4,120,88,32,38854,14940,23914
187,9811,53377,28860,24517,7496,3959,3537,5855,3120,2735,0,0,0,38229,22616,15613,15148,6244,8904,14528,13669,859,13262,12608,654,22,15,7,54,51,3,486,438,48,12700,12104,596,1266,1061,205,8,5,3,7,7,0,141,115,26,1110,934,176,858,701,157,8,5,3,7,7,0,48,29,19,795,660,135,408,360,48,0,0,0,0,0,0,93,86,7,315,274,41,38849,15191,23658
186,10119,52705,28646,24059,7514,3983,3531,6860,3695,3165,0,0,0,38830,22854,15976,13875,5792,8083,15691,14368,1323,14796,13744,1052,13,12,1,21,20,1,369,319,50,14393,13393,1000,895,624,271,8,6,2,6,2,4,27,9,18,854,607,247,766,545,221,8,6,2,5,2,3,24,8,16,729,529,200,129,79,50,0,0,0,1,0,1,3,1,2,125,78,47,37014,14278,22736
185,11636,55512,30430,25082,7506,4004,3502,4080,2211,1869,0,0,0,41451,24153,17298,14061,6277,7784,18439,16257,2182,17502,15505,1997,14,14,0,22,20,2,376,324,52,17090,15147,1943,937,752,185,6,5,1,6,4,2,42,27,15,883,716,167,837,680,157,6,5,1,6,4,2,35,24,11,790,647,143,100,72,28,0,0,0,0,0,0,7,3,4,93,69,24,37073,14173,22900
184,9558,43613,23692,19921,4241,2346,1895,6781,3593,3188,0,0,0,37060,20800,16260,6553,2892,3661,16172,13394,2778,15556,12979,2577,20,17,3,49,43,6,147,134,13,15340,12785,2555,616,415,201,9,5,4,24,18,6,11,7,4,572,385,187,537,361,176,8,4,4,12,10,2,10,6,4,507,341,166,79,54,25,1,1,0,12,8,4,1,1,0,65,44,21,27441,10298,17143
183,9492,49123,25648,23475,5800,3099,2701,22969,11842,11127,0,0,0,37149,20857,16292,11974,4791,7183,15122,13252,1870,14265,12603,1662,19,14,5,26,22,4,223,196,27,13997,12371,1626,857,649,208,19,10,9,6,6,0,23,11,12,809,622,187,748,575,173,18,9,9,5,5,0,22,10,12,703,551,152,109,74,35,1,1,0,1,1,0,1,1,0,106,71,35,34001,12396,21605
182,8756,45365,23856,21509,5295,2831,2464,24823,12792,12031,0,0,0,34416,19450,14966,10949,4406,6543,14058,12235,1823,12797,11274,1523,68,59,9,51,49,2,353,309,44,12325,10857,1468,1261,961,300,24,16,8,8,7,1,27,13,14,1202,925,277,1059,787,272,24,16,8,7,6,1,25,11,14,1003,754,249,202,174,28,0,0,0,1,1,0,2,2,0,199,171,28,31307,11621,19686
181,11881,61066,34412,26654,6731,3628,3103,7689,4013,3676,0,0,0,48892,29059,19833,12174,5353,6821,22754,20117,2637,21534,19185,2349,60,56,4,31,24,7,646,560,86,20797,18545,2252,1220,932,288,21,13,8,16,13,3,49,34,15,1134,872,262,1062,797,265,20,13,7,14,12,2,40,28,12,988,744,244,158,135,23,1,0,1,2,1,1,9,6,3,146,128,18,38312,14295,24017
180,11427,56234,29709,26525,7090,3781,3309,19351,9940,9411,0,0,0,41742,23848,17894,14492,5861,8631,18289,15530,2759,16959,14600,2359,65,58,7,54,51,3,464,388,76,16376,14103,2273,1330,930,400,10,5,5,4,4,0,70,36,34,1246,885,361,1167,806,361,9,4,5,4,4,0,55,24,31,1099,774,325,163,124,39,1,1,0,0,0,0,15,12,3,147,111,36,37945,14179,23766
179,11418,58573,31647,26926,7459,3931,3528,17931,9436,8495,0,0,0,42615,25146,17469,15958,6501,9457,18502,16472,2030,17364,15618,1746,30,23,7,25,22,3,190,160,30,17119,15413,1706,1138,854,284,19,9,10,5,5,0,14,8,6,1100,832,268,897,670,227,19,9,10,4,4,0,10,6,4,864,651,213,241,184,57,0,0,0,1,1,0,4,2,2,236,181,55,40071,15175,24896
178,13358,67235,35952,31283,8803,4681,4122,18665,9748,8917,0,0,0,48350,28051,20299,18885,7901,10984,20006,17907,2099,18455,16684,1771,40,36,4,46,43,3,389,333,56,17980,16272,1708,1551,1223,328,7,6,1,19,16,3,35,19,16,1490,1182,308,1043,813,230,7,6,1,17,14,3,28,14,14,991,779,212,508,410,98,0,0,0,2,2,0,7,5,2,499,403,96,47229,18045,29184
177,19989,107021,57547,49474,14777,7833,6944,17957,9457,8500,0,0,0,76700,45187,31513,30321,12360,17961,30482,28103,2379,29009,27053,1956,41,36,5,49,44,5,876,745,131,28043,26228,1815,1473,1050,423,22,9,13,21,18,3,62,44,18,1368,979,389,1254,885,369,22,9,13,21,18,3,52,39,13,1159,819,340,219,165,54,0,0,0,0,0,0,10,5,5,209,160,49,76539,29444,47095
176,8994,47780,25777,22003,7639,4118,3521,6429,3452,2977,0,0,0,30014,17983,12031,17766,7794,9972,14721,12416,2305,13406,11472,1934,176,166,10,579,471,108,486,395,91,12165,10440,1725,1315,944,371,26,20,6,110,72,38,65,27,38,1114,825,289,1160,866,294,23,18,5,103,66,37,48,21,27,986,761,225,155,78,77,3,2,1,7,6,1,17,6,11,128,64,64,33059,13361,19698
175,11941,60483,32761,27722,9035,4889,4146,10052,5330,4722,0,0,0,43352,25329,18023,17131,7432,9699,18226,16112,2114,17286,15417,1869,158,149,9,627,472,155,347,300,47,16154,14496,1658,940,695,245,21,15,6,67,57,10,57,25,32,795,598,197,807,588,219,20,15,5,63,55,8,54,25,29,670,493,177,133,107,26,1,0,1,4,2,2,3,0,3,125,105,20,42257,16649,25608
174,16141,76829,41739,35090,10288,5444,4844,10086,5373,4713,0,0,0,57219,33193,24026,19610,8546,11064,25993,22542,3451,24672,21649,3023,106,87,19,225,179,46,566,443,123,23775,20940,2835,1321,893,428,25,20,5,14,9,5,34,19,15,1248,845,403,1144,763,381,25,20,5,12,8,4,31,18,13,1076,717,359,177,130,47,0,0,0,2,1,1,3,1,2,172,128,44,50836,19197,31639
173,12389,55826,29824,26002,6984,3679,3305,7302,3836,3466,0,0,0,42773,24154,18619,13053,5670,7383,19968,15971,3997,18702,15152,3550,72,54,18,77,66,11,471,377,94,18082,14655,3427,1266,819,447,32,17,15,8,6,2,29,15,14,1197,781,416,1163,758,405,32,17,15,7,5,2,25,14,11,1099,722,377,103,61,42,0,0,0,1,1,0,4,1,3,98,59,39,35858,13853,22005
172,13351,53909,28579,25330,6219,3319,2900,5286,2911,2375,0,0,0,41294,22934,18360,12615,5645,6970,21161,15784,5377,19397,14719,4678,209,173,36,256,225,31,654,470,184,18278,13851,4427,1764,1065,699,61,32,29,134,89,45,58,35,23,1511,909,602,1586,956,630,59,32,27,110,75,35,46,30,16,1371,819,552,178,109,69,2,0,2,24,14,10,12,5,7,140,90,50,32748,12795,19953
171,11785,52382,28614,23768,5170,2726,2444,13338,7122,6216,0,0,0,40663,23650,17013,11719,4964,6755,20584,15396,5188,18543,14045,4498,45,37,8,130,110,20,440,343,97,17928,13555,4373,2041,1351,690,14,11,3,42,34,8,30,17,13,1955,1289,666,1833,1203,630,12,9,3,17,11,6,27,15,12,1777,1168,609,208,148,60,2,2,0,25,23,2,3,2,1,178,121,57,31798,13218,18580
170,12529,59348,31333,28015,7321,3905,3416,7700,3982,3718,0,0,0,46177,25363,20814,13171,5970,7201,20293,16437,3856,19151,15635,3516,40,35,5,69,57,12,703,639,64,18339,14904,3435,1142,802,340,19,11,8,16,15,1,51,35,16,1056,741,315,986,691,295,18,10,8,15,14,1,47,33,14,906,634,272,156,111,45,1,1,0,1,1,0,4,2,2,150,107,43,39055,14896,24159
169,8385,35627,18425,17202,3467,1834,1633,3904,2013,1891,0,0,0,30054,16031,14023,5573,2394,3179,13435,9966,3469,12732,9564,3168,13,12,1,65,44,21,392,325,67,12262,9183,3079,703,402,301,10,5,5,10,5,5,26,17,9,657,375,282,632,363,269,10,5,5,10,5,5,21,14,7,591,339,252,71,39,32,0,0,0,0,0,0,5,3,2,66,36,30,22192,8459,13733
168,9754,45217,23998,21219,3924,2105,1819,8412,4477,3935,0,0,0,36037,19940,16097,9180,4058,5122,17263,13306,3957,16194,12625,3569,18,11,7,56,47,9,458,389,69,15662,12178,3484,1069,681,388,7,4,3,9,6,3,33,26,7,1020,645,375,985,623,362,7,4,3,9,6,3,28,24,4,941,589,352,84,58,26,0,0,0,0,0,0,5,2,3,79,56,23,27954,10692,17262
167,10250,45640,24282,21358,4187,2274,1913,9960,5252,4708,0,0,0,36581,20524,16057,9059,3758,5301,17018,13120,3898,16126,12556,3570,25,19,6,45,40,5,154,122,32,15902,12375,3527,892,564,328,12,6,6,13,12,1,11,5,6,856,541,315,791,500,291,12,6,6,10,10,0,6,2,4,763,482,281,101,64,37,0,0,0,3,2,1,5,3,2,93,59,34,28622,11162,17460
166,10467,42344,23357,18987,4142,2223,1919,5240,2774,2466,0,0,0,34769,19939,14830,7575,3418,4157,15628,12683,2945,14899,12217,2682,17,13,4,42,31,11,152,132,20,14688,12041,2647,729,466,263,16,10,6,4,3,1,20,14,6,689,439,250,584,361,223,15,9,6,3,2,1,16,11,5,550,339,211,145,105,40,1,1,0,1,1,0,4,3,1,139,100,39,26716,10674,16042
165,10123,41649,22011,19638,3823,2023,1800,5348,2812,2536,0,0,0,34212,18678,15534,7437,3333,4104,16693,12303,4390,15704,11690,4014,25,22,3,75,52,23,208,163,45,15396,11453,3943,989,613,376,16,10,6,8,7,1,11,5,6,954,591,363,938,580,358,16,10,6,8,7,1,10,4,6,904,559,345,51,33,18,0,0,0,0,0,0,1,1,0,50,32,18,24956,9708,15248
164,8718,37288,19260,18028,2812,1490,1322,3207,1650,1557,0,0,0,32667,17214,15453,4621,2046,2575,15320,11124,4196,14813,10856,3957,47,28,19,61,45,16,602,495,107,14103,10288,3815,507,268,239,14,10,4,26,12,14,39,24,15,428,222,206,457,242,215,14,10,4,23,11,12,34,20,14,386,201,185,50,26,24,0,0,0,3,1,2,5,4,1,42,21,21,21968,8136,13832
163,11080,47087,24602,22485,3777,1964,1813,4035,2158,1877,0,0,0,40737,21689,19048,6350,2913,3437,18991,14145,4846,18324,13719,4605,23,16,7,51,38,13,957,831,126,17293,12834,4459,667,426,241,12,8,4,2,2,0,57,44,13,596,372,224,591,370,221,10,6,4,2,2,0,54,42,12,525,320,205,76,56,20,2,2,0,0,0,0,3,2,1,71,52,19,28096,10457,17639
162,8118,37426,19751,17675,4004,2095,1909,2510,1304,1206,0,0,0,30389,16589,13800,7037,3162,3875,13285,10487,2798,12764,10143,2621,24,18,6,21,14,7,291,261,30,12428,9850,2578,521,344,177,9,3,6,4,4,0,10,5,5,498,332,166,404,250,154,8,2,6,1,1,0,7,4,3,388,243,145,117,94,23,1,1,0,3,3,0,3,1,2,110,89,21,24141,9264,14877
161,8240,35888,18755,17133,2929,1578,1351,3790,1995,1795,0,0,0,30678,16545,14133,5210,2210,3000,14293,10587,3706,13454,10080,3374,25,21,4,47,30,17,672,563,109,12710,9466,3244,839,507,332,9,4,5,11,7,4,34,19,15,785,477,308,786,476,310,9,4,5,9,5,4,24,15,9,744,452,292,53,31,22,0,0,0,2,2,0,10,4,6,41,25,16,21595,8168,13427
160,8975,37629,19864,17765,3195,1702,1493,1464,771,693,0,0,0,31958,17270,14688,5671,2594,3077,15089,11497,3592,14638,11232,3406,25,17,8,19,15,4,347,289,58,14247,10911,3336,451,265,186,8,4,4,2,0,2,10,4,6,431,257,174,402,243,159,8,4,4,2,0,2,9,4,5,383,235,148,49,22,27,0,0,0,0,0,0,1,0,1,48,22,26,22540,8367,14173
159,10785,46748,24216,22532,3250,1718,1532,5006,2584,2422,0,0,0,40791,21586,19205,5957,2630,3327,19933,14119,5814,18458,13250,5208,18,16,2,157,112,45,667,556,111,17616,12566,5050,1475,869,606,10,3,7,30,15,15,42,28,14,1393,823,570,1412,826,586,10,3,7,26,13,13,39,26,13,1337,784,553,63,43,20,0,0,0,4,2,2,3,2,1,56,39,17,26815,10097,16718
158,10163,47706,25834,21872,4912,2646,2266,10627,5598,5029,0,0,0,38448,21876,16572,9258,3958,5300,16539,14204,2335,15537,13434,2103,32,28,4,172,154,18,508,459,49,14825,12793,2032,1002,770,232,15,9,6,6,4,2,30,19,11,951,738,213,818,619,199,15,9,6,4,2,2,27,17,10,772,591,181,184,151,33,0,0,0,2,2,0,3,2,1,179,147,32,31167,11630,19537
157,9197,40384,21334,19050,3603,1831,1772,5857,3069,2788,0,0,0,33605,18504,15101,6779,2830,3949,15039,11873,3166,13866,11057,2809,28,16,12,49,39,10,316,279,37,13473,10723,2750,1173,816,357,12,8,4,14,9,5,23,13,10,1124,786,338,1049,723,326,12,8,4,8,4,4,22,12,10,1007,699,308,124,93,31,0,0,0,6,5,1,1,1,0,117,87,30,25345,9461,15884
156,10094,46724,24557,22167,4468,2394,2074,12656,6572,6084,0,0,0,38242,20921,17321,8482,3636,4846,16468,13506,2962,15341,12713,2628,20,14,6,64,56,8,498,417,81,14759,12226,2533,1127,793,334,9,6,3,15,9,6,44,25,19,1059,753,306,899,630,269,9,6,3,14,8,6,30,14,16,846,602,244,228,163,65,0,0,0,1,1,0,14,11,3,213,151,62,30256,11051,19205
155,9806,41421,21560,19861,3546,1860,1686,3462,1789,1673,0,0,0,32432,17484,14948,8989,4076,4913,17153,12386,4767,16473,11997,4476,14,9,5,53,32,21,794,644,150,15612,11312,4300,680,389,291,4,3,1,9,8,1,66,33,33,601,345,256,614,348,266,4,3,1,9,8,1,47,27,20,554,310,244,66,41,25,0,0,0,0,0,0,19,6,13,47,35,12,24268,9174,15094
154,8182,36325,19522,16803,4064,2061,2003,6408,3474,2934,0,0,0,27287,15416,11871,9038,4106,4932,14039,11121,2918,12660,10078,2582,28,26,2,39,27,12,281,229,52,12312,9796,2516,1379,1043,336,12,6,6,19,14,5,16,8,8,1332,1015,317,1110,835,275,11,5,6,9,6,3,11,6,5,1079,818,261,269,208,61,1,1,0,10,8,2,5,2,3,253,197,56,22286,8401,13885
153,5507,25579,14151,11428,2762,1477,1285,4044,2141,1903,0,0,0,18856,10863,7993,6723,3288,3435,9629,8043,1586,9064,7671,1393,390,272,118,284,232,52,187,154,33,8203,7013,1190,565,372,193,14,9,5,38,24,14,40,32,8,473,307,166,491,315,176,14,9,5,32,20,12,36,30,6,409,256,153,74,57,17,0,0,0,6,4,2,4,2,2,64,51,13,15950,6108,9842
152,12133,51921,28596,23325,5470,2955,2515,9163,4977,4186,0,0,0,41103,23691,17412,10818,4905,5913,18646,15941,2705,17986,15458,2528,24,20,4,24,23,1,493,442,51,17445,14973,2472,660,483,177,6,2,4,5,4,1,30,19,11,619,458,161,482,350,132,6,2,4,3,3,0,13,8,5,460,337,123,178,133,45,0,0,0,2,1,1,17,11,6,159,121,38,33275,12655,20620
151,10317,48836,26086,22750,5506,2972,2534,14194,7479,6715,0,0,0,36899,20923,15976,11937,5163,6774,17285,14406,2879,16513,13873,2640,23,16,7,76,67,9,469,384,85,15945,13406,2539,772,533,239,11,8,3,6,5,1,36,16,20,719,504,215,628,428,200,11,8,3,5,4,1,24,12,12,588,404,184,144,105,39,0,0,0,1,1,0,12,4,8,131,100,31,31551,11680,19871
150,10721,49963,27655,22308,6511,3458,3053,13247,7107,6140,0,0,0,31693,19326,12367,18270,8329,9941,17222,14971,2251,15935,13929,2006,33,29,4,77,74,3,245,186,59,15580,13640,1940,1287,1042,245,16,10,6,11,10,1,18,13,5,1242,1009,233,950,747,203,12,6,6,9,9,0,16,11,5,913,721,192,337,295,42,4,4,0,2,1,1,2,2,0,329,288,41,32741,12684,20057
149,12337,51347,26360,24987,4016,2148,1868,7352,3763,3589,0,0,0,44871,23270,21601,6476,3090,3386,20566,15356,5210,20061,15054,5007,9,6,3,23,19,4,777,680,97,19252,14349,4903,505,302,203,10,3,7,2,1,1,14,8,6,479,290,189,440,264,176,10,3,7,2,1,1,13,8,5,415,252,163,65,38,27,0,0,0,0,0,0,1,0,1,64,38,26,30781,11004,19777
148,12662,64186,34369,29817,7772,4177,3595,6214,3284,2930,0,0,0,49724,28361,21363,14462,6008,8454,19859,17747,2112,18960,17120,1840,20,17,3,32,30,2,516,450,66,18392,16623,1769,899,627,272,9,6,3,8,7,1,59,25,34,823,589,234,714,520,194,9,6,3,7,6,1,32,14,18,666,494,172,185,107,78,0,0,0,1,1,0,27,11,16,157,95,62,44327,16622,27705
147,17645,83031,43827,39204,9592,5178,4414,9992,5322,4670,0,0,0,65979,36476,29503,17052,7351,9701,27380,22785,4595,26606,22232,4374,44,36,8,52,45,7,748,664,84,25762,21487,4275,774,553,221,24,15,9,10,9,1,54,29,25,686,500,186,680,483,197,24,15,9,9,8,1,48,27,21,599,433,166,94,70,24,0,0,0,1,1,0,6,2,4,87,67,20,55651,21042,34609
146,10447,52171,27758,24413,5720,3184,2536,4947,2605,2342,0,0,0,42618,23678,18940,9553,4080,5473,15963,14098,1865,15104,13458,1646,14,9,5,28,26,2,530,485,45,14532,12938,1594,859,640,219,12,5,7,26,24,2,49,25,24,772,586,186,664,495,169,12,5,7,21,19,2,33,17,16,598,454,144,195,145,50,0,0,0,5,5,0,16,8,8,174,132,42,36208,13660,22548
145,10278,49331,26087,23244,5606,3031,2575,5849,3070,2779,0,0,0,39757,21939,17818,9574,4148,5426,15795,13238,2557,15173,12803,2370,27,19,8,49,42,7,335,271,64,14762,12471,2291,622,435,187,7,4,3,9,6,3,32,17,15,574,408,166,545,374,171,7,4,3,8,5,3,26,15,11,504,350,154,77,61,16,0,0,0,1,1,0,6,2,4,70,58,12,33536,12849,20687
144,14227,63789,34547,29242,8427,4505,3922,11317,6033,5284,0,0,0,47583,27495,20088,16206,7052,9154,21714,18074,3640,21039,17639,3400,58,51,7,82,71,11,347,258,89,20552,17259,3293,675,435,240,14,7,7,6,3,3,24,16,8,631,409,222,564,367,197,14,7,7,6,3,3,20,13,7,524,344,180,111,68,43,0,0,0,0,0,0,4,3,1,107,65,42,42075,16473,25602
143,27295,100728,64890,35838,13563,7120,6443,11262,6783,4479,0,0,0,73539,51740,21799,27189,13150,14039,48907,45271,3636,46437,43275,3162,56,46,10,227,211,16,451,408,43,45703,42610,3093,2470,1996,474,16,9,7,157,134,23,44,34,10,2253,1819,434,1841,1477,364,13,9,4,40,34,6,40,31,9,1748,1403,345,629,519,110,3,0,3,117,100,17,4,3,1,505,416,89,51821,19619,32202
142,13193,64506,34300,30206,7705,4196,3509,10068,5241,4827,0,0,0,51987,28994,22993,12519,5306,7213,19623,17343,2280,18906,16834,2072,17,15,2,40,38,2,265,215,50,18584,16566,2018,717,509,208,8,7,1,5,3,2,36,15,21,668,484,184,596,433,163,8,7,1,4,2,2,24,10,14,560,414,146,121,76,45,0,0,0,1,1,0,12,5,7,108,70,38,44883,16957,27926
141,14040,62928,34128,28800,8710,4797,3913,7741,4206,3535,0,0,0,48240,27496,20744,14688,6632,8056,20132,17303,2829,19579,16922,2657,171,163,8,471,332,139,268,226,42,18669,16201,2468,553,381,172,10,7,3,54,39,15,30,21,9,459,314,145,464,317,147,10,7,3,49,35,14,24,18,6,381,257,124,89,64,25,0,0,0,5,4,1,6,3,3,78,57,21,42796,16825,25971
140,5635,29235,15596,13639,3539,1927,1612,6268,3265,3003,0,0,0,21896,12751,9145,7339,2845,4494,8283,7338,945,7639,6835,804,579,554,25,222,213,9,153,123,30,6685,5945,740,644,503,141,83,69,14,98,81,17,28,15,13,435,338,97,541,426,115,73,61,12,76,63,13,23,12,11,369,290,79,103,77,26,10,8,2,22,18,4,5,3,2,66,48,18,20952,8258,12694
139,10641,56525,30147,26378,6892,3799,3093,9346,4954,4392,0,0,0,42972,24520,18452,13553,5627,7926,16898,14165,2733,14979,12816,2163,681,645,36,361,292,69,342,264,78,13595,11615,1980,1919,1349,570,37,27,10,492,304,188,73,46,27,1317,972,345,1648,1155,493,31,21,10,387,242,145,62,39,23,1168,853,315,271,194,77,6,6,0,105,62,43,11,7,4,149,119,30,39627,15982,23645
138,12990,66582,35751,30831,8485,4697,3788,8930,4675,4255,0,0,0,51267,28823,22444,15315,6928,8387,20359,17702,2657,19168,16815,2353,62,55,7,126,100,26,554,453,101,18426,16207,2219,1191,887,304,25,12,13,45,26,19,53,23,30,1068,826,242,1055,782,273,23,10,13,41,23,18,40,19,21,951,730,221,136,105,31,2,2,0,4,3,1,13,4,9,117,96,21,46223,18049,28174
137,13606,71159,37952,33207,8626,4792,3834,10481,5515,4966,0,0,0,55220,31357,23863,15939,6595,9344,20710,18086,2624,19447,17103,2344,83,61,22,159,137,22,484,403,81,18721,16502,2219,1263,983,280,23,14,9,55,37,18,52,34,18,1133,898,235,1161,903,258,22,13,9,48,32,16,44,32,12,1047,826,221,102,80,22,1,1,0,7,5,2,8,2,6,86,72,14,50449,19866,30583
136,33426,143324,74955,68369,15595,8214,7381,10795,5821,4974,0,0,0,117293,63098,54195,26031,11857,14174,53683,40823,12860,52122,39795,12327,66,54,12,160,120,40,870,740,130,51026,38881,12145,1561,1028,533,17,8,9,22,14,8,40,29,11,1482,977,505,1372,897,475,15,6,9,21,13,8,33,25,8,1303,853,450,189,131,58,2,2,0,1,1,0,7,4,3,179,124,55,89641,34132,55509
135,24022,107229,57226,50003,13878,7428,6450,13753,7330,6423,0,0,0,81017,45647,35370,26212,11579,14633,36527,29664,6863,34703,28533,6170,43,37,6,167,140,27,520,424,96,33973,27932,6041,1824,1131,693,46,19,27,39,31,8,68,36,32,1671,1045,626,1584,967,617,45,18,27,35,29,6,59,31,28,1445,889,556,240,164,76,1,1,0,4,2,2,9,5,4,226,156,70,70702,27562,43140
134,14289,73562,39575,33987,9535,5166,4369,8835,4689,4146,0,0,0,55405,31840,23565,18157,7735,10422,21414,19242,2172,20214,18285,1929,122,117,5,149,125,24,514,432,82,19429,17611,1818,1200,957,243,35,27,8,30,21,9,41,22,19,1094,887,207,1024,826,198,35,27,8,23,15,8,35,21,14,931,763,168,176,131,45,0,0,0,7,6,1,6,1,5,163,124,39,52148,20333,31815
133,2733,14662,8584,6078,1519,894,625,1549,853,696,0,0,0,11913,7378,4535,2749,1206,1543,5355,4848,507,5019,4598,421,104,94,10,94,87,7,68,60,8,4753,4357,396,336,250,86,12,9,3,10,7,3,7,5,2,307,229,78,304,227,77,11,8,3,8,5,3,7,5,2,278,209,69,32,23,9,1,1,0,2,2,0,0,0,0,29,20,9,9307,3736,5571
132,10377,50837,27596,23241,6248,3485,2763,4997,2660,2337,0,0,0,39920,22881,17039,10917,4715,6202,15787,14313,1474,15324,13943,1381,13,12,1,20,18,2,252,209,43,15039,13704,1335,463,370,93,8,3,5,3,2,1,19,13,6,433,352,81,411,331,80,8,3,5,3,2,1,17,12,5,383,314,69,52,39,13,0,0,0,0,0,0,2,1,1,50,38,12,35050,13283,21767
131,11538,54383,29257,25126,6599,3629,2970,5664,2906,2758,0,0,0,42646,24180,18466,11737,5077,6660,16710,14982,1728,16218,14619,1599,12,10,2,50,45,5,333,296,37,15823,14268,1555,492,363,129,5,1,4,3,2,1,16,11,5,468,349,119,396,295,101,3,1,2,3,2,1,14,9,5,376,283,93,96,68,28,2,0,2,0,0,0,2,2,0,92,66,26,37673,14275,23398
130,10270,48946,26012,22934,6007,3253,2754,8704,4591,4113,0,0,0,38357,21479,16878,10589,4533,6056,15655,13341,2314,15043,12948,2095,17,16,1,49,43,6,275,232,43,14702,12657,2045,612,393,219,13,6,7,16,11,5,9,4,5,574,372,202,517,323,194,12,5,7,15,10,5,5,1,4,485,307,178,95,70,25,1,1,0,1,1,0,4,3,1,89,65,24,33291,12671,20620
129,12078,59691,32044,27647,7152,3885,3267,7513,3960,3553,0,0,0,46305,26364,19941,13386,5680,7706,18671,16415,2256,17868,15789,2079,18,18,0,51,46,5,677,616,61,17122,15109,2013,803,626,177,11,3,8,15,13,2,32,26,6,745,584,161,659,525,134,9,2,7,9,8,1,32,26,6,609,489,120,144,101,43,2,1,1,6,5,1,0,0,0,136,95,41,41020,15629,25391
128,14868,71443,37974,33469,8462,4598,3864,6010,3140,2870,0,0,0,56175,31179,24996,15268,6795,8473,22766,20076,2690,21867,19420,2447,45,43,2,41,38,3,683,585,98,21098,18754,2344,899,656,243,19,9,10,9,7,2,42,26,16,829,614,215,675,489,186,17,7,10,3,2,1,32,19,13,623,461,162,224,167,57,2,2,0,6,5,1,10,7,3,206,153,53,48677,17898,30779
127,10719,53455,28280,25175,6251,3434,2817,4358,2309,2049,0,0,0,42835,23544,19291,10620,4736,5884,17113,14679,2434,16679,14395,2284,38,32,6,36,31,5,1166,816,350,15439,13516,1923,434,284,150,13,9,4,2,1,1,41,20,21,378,254,124,354,228,126,13,9,4,2,1,1,37,20,17,302,198,104,80,56,24,0,0,0,0,0,0,4,0,4,76,56,20,36342,13601,22741
126,8623,41164,21929,19235,4873,2607,2266,2751,1452,1299,0,0,0,33092,18360,14732,8072,3569,4503,13759,11926,1833,13335,11646,1689,8,8,0,33,28,5,274,236,38,13020,11374,1646,424,280,144,8,3,5,0,0,0,6,3,3,410,274,136,378,251,127,8,3,5,0,0,0,5,3,2,365,245,120,46,29,17,0,0,0,0,0,0,1,0,1,45,29,16,27405,10003,17402
125,22311,110469,58829,51640,13828,7366,6462,11124,5857,5267,0,0,0,86269,48368,37901,24200,10461,13739,33982,30147,3835,32331,28887,3444,61,52,9,133,113,20,836,718,118,31301,28004,3297,1651,1260,391,17,10,7,32,22,10,89,47,42,1513,1181,332,1295,979,316,17,10,7,25,17,8,69,37,32,1184,915,269,356,281,75,0,0,0,7,5,2,20,10,10,329,266,63,76487,28682,47805
