Ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
CANT_1,1012,4816,2694,2122,587,317,270,690,386,304,0,0,0,3579,2147,1432,1237,547,690,1531,1422,109,1505,1399,106,0,0,0,2,2,0,17,16,1,1486,1381,105,26,23,3,0,0,0,0,0,0,0,0,0,26,23,3,19,17,2,0,0,0,0,0,0,0,0,0,19,17,2,7,6,1,0,0,0,0,0,0,0,0,0,7,6,1,3285,1272,2013
272,18679,97641,52834,44807,14258,7535,6723,9488,4980,4508,0,0,0,68977,40912,28065,28664,11922,16742,27869,25950,1919,26011,24583,1428,44,39,5,109,98,11,842,701,141,25016,23745,1271,1858,1367,491,26,21,5,74,71,3,137,88,49,1621,1187,434,1585,1156,429,23,20,3,67,64,3,126,84,42,1369,988,381,273,211,62,3,1,2,7,7,0,11,4,7,252,199,53,69772,26884,42888
271,16049,85400,45675,39725,11799,6395,5404,9133,4803,4330,0,0,0,63207,36496,26711,22193,9179,13014,24320,22543,1777,23389,22004,1385,37,36,1,77,77,0,827,723,104,22448,21168,1280,931,539,392,11,8,3,9,6,3,155,54,101,756,471,285,791,468,323,11,8,3,9,6,3,111,37,74,660,417,243,140,71,69,0,0,0,0,0,0,44,17,27,96,54,42,61080,23132,37948
270,8289,45345,24032,21313,6374,3400,2974,3385,1786,1599,0,0,0,32787,18627,14160,12558,5405,7153,12632,11649,983,12143,11349,794,18,17,1,23,21,2,555,489,66,11547,10822,725,489,300,189,10,6,4,2,1,1,42,22,20,435,271,164,402,265,137,10,6,4,2,1,1,28,15,13,362,243,119,87,35,52,0,0,0,0,0,0,14,7,7,73,28,45,32713,12383,20330
269,13186,76640,40584,36056,11385,5973,5412,3758,2028,1730,0,0,0,50084,28588,21496,26556,11996,14560,21122,19237,1885,19403,18016,1387,12,12,0,27,23,4,1160,966,194,18204,17015,1189,1719,1221,498,24,16,8,11,9,2,272,116,156,1412,1080,332,1402,1050,352,22,16,6,11,9,2,149,80,69,1220,945,275,317,171,146,2,0,2,0,0,0,123,36,87,192,135,57,55518,21347,34171
268,12794,80419,42170,38249,12762,6658,6104,3486,1851,1635,0,0,0,50618,29313,21305,29801,12857,16944,21008,19770,1238,19065,18153,912,9,9,0,35,34,1,940,847,93,18081,17263,818,1943,1617,326,5,2,3,4,4,0,101,44,57,1833,1567,266,1716,1451,265,5,2,3,2,2,0,72,36,36,1637,1411,226,227,166,61,0,0,0,2,2,0,29,8,21,196,156,40,59411,22400,37011
267,13203,80968,42761,38207,12282,6437,5845,3709,1987,1722,0,0,0,52314,30422,21892,28654,12339,16315,21485,20188,1297,20170,19143,1027,14,11,3,35,34,1,808,658,150,19313,18440,873,1315,1045,270,18,12,6,10,9,1,102,31,71,1185,993,192,1144,908,236,18,12,6,9,8,1,91,26,65,1026,862,164,171,137,34,0,0,0,1,1,0,11,5,6,159,131,28,59483,22573,36910
266,11733,65564,35027,30537,9294,5029,4265,9540,5117,4423,0,0,0,46733,26948,19785,18831,8079,10752,17690,16613,1077,16431,15603,828,27,27,0,20,19,1,441,410,31,15943,15147,796,1259,1010,249,32,27,5,6,4,2,69,35,34,1152,944,208,1140,937,203,31,26,5,5,4,1,60,32,28,1044,875,169,119,73,46,1,1,0,1,0,1,9,3,6,108,69,39,47874,18414,29460
265,14969,81873,43813,38060,11653,6315,5338,18802,10057,8745,0,0,0,58224,33922,24302,23649,9891,13758,23251,21257,1994,21931,20329,1602,180,157,23,78,75,3,518,420,98,21155,19677,1478,1320,928,392,48,36,12,6,6,0,91,27,64,1175,859,316,1174,848,326,48,36,12,5,5,0,74,25,49,1047,782,265,146,80,66,0,0,0,1,1,0,17,2,15,128,77,51,58622,22556,36066
264,14820,78698,42660,36038,11406,6044,5362,31746,16862,14884,0,0,0,54280,32208,22072,24418,10452,13966,23850,21258,2592,22194,19999,2195,190,163,27,78,65,13,673,551,122,21253,19220,2033,1656,1259,397,17,11,6,16,12,4,63,31,32,1560,1205,355,1408,1081,327,17,11,6,15,12,3,46,25,21,1330,1033,297,248,178,70,0,0,0,1,0,1,17,6,11,230,172,58,54848,21402,33446
263,13152,71019,38185,32834,10192,5450,4742,22218,11920,10298,0,0,0,50377,29648,20729,20642,8537,12105,19853,18392,1461,18400,17255,1145,59,57,2,62,57,5,474,415,59,17805,16726,1079,1453,1137,316,12,11,1,21,13,8,90,41,49,1330,1072,258,1228,990,238,11,10,1,16,9,7,70,36,34,1131,935,196,225,147,78,1,1,0,5,4,1,20,5,15,199,137,62,51166,19793,31373
262,12137,65651,35023,30628,8365,4562,3803,32703,17358,15345,0,0,0,48345,28014,20331,17306,7009,10297,18780,16937,1843,17225,15671,1554,13,12,1,53,47,6,503,406,97,16656,15206,1450,1555,1266,289,18,11,7,25,19,6,91,68,23,1421,1168,253,1222,992,230,18,11,7,19,14,5,71,56,15,1114,911,203,333,274,59,0,0,0,6,5,1,20,12,8,307,257,50,46871,18086,28785
261,14084,79561,42600,36961,10929,5864,5065,22298,11914,10384,0,0,0,57702,33221,24481,21859,9379,12480,22557,20827,1730,21532,20067,1465,33,31,2,84,78,6,1295,1024,271,20120,18934,1186,1025,760,265,8,4,4,13,11,2,93,34,59,911,711,200,872,649,223,8,4,4,11,9,2,79,29,50,774,607,167,153,111,42,0,0,0,2,2,0,14,5,9,137,104,33,57004,21773,35231
260,9096,48557,25557,23000,5716,3090,2626,2938,1522,1416,0,0,0,39024,21256,17768,9533,4301,5232,14548,13111,1437,14084,12766,1318,18,16,2,31,30,1,559,527,32,13476,12193,1283,464,345,119,4,2,2,3,1,2,23,9,14,434,333,101,379,295,84,4,2,2,3,1,2,14,9,5,358,283,75,85,50,35,0,0,0,0,0,0,9,0,9,76,50,26,34009,12446,21563
259,10978,62191,32608,29583,8513,4449,4064,4605,2415,2190,0,0,0,41371,22771,18600,20820,9837,10983,19396,17151,2245,18410,16608,1802,30,29,1,13,12,1,759,659,100,17608,15908,1700,986,543,443,3,2,1,7,5,2,63,18,45,913,518,395,778,453,325,2,2,0,3,1,2,38,12,26,735,438,297,208,90,118,1,0,1,4,4,0,25,6,19,178,80,98,42795,15457,27338
258,12129,72356,38532,33824,10294,5401,4893,4470,2430,2040,0,0,0,50532,28662,21870,21824,9870,11954,21249,19387,1862,20203,18642,1561,18,14,4,50,48,2,1570,1402,168,18565,17178,1387,1046,745,301,4,1,3,6,4,2,133,75,58,903,665,238,832,605,227,2,0,2,6,4,2,118,69,49,706,532,174,214,140,74,2,1,1,0,0,0,15,6,9,197,133,64,51107,19145,31962
257,9471,56775,29828,26947,7612,4059,3553,2236,1167,1069,0,0,0,42432,23418,19014,14343,6410,7933,16170,14744,1426,14924,13776,1148,47,45,2,61,56,5,1299,1202,97,13517,12473,1044,1246,968,278,15,12,3,28,24,4,177,140,37,1026,792,234,1122,866,256,13,10,3,25,21,4,150,117,33,934,718,216,124,102,22,2,2,0,3,3,0,27,23,4,92,74,18,40605,15084,25521
256,11624,59939,31296,28643,6689,3646,3043,4229,2155,2074,0,0,0,50111,26855,23256,9828,4441,5387,18644,15911,2733,18088,15532,2556,14,13,1,30,26,4,741,679,62,17303,14814,2489,556,379,177,7,2,5,0,0,0,38,16,22,511,361,150,430,294,136,5,1,4,0,0,0,27,12,15,398,281,117,126,85,41,2,1,1,0,0,0,11,4,7,113,80,33,41295,15385,25910
255,10791,59681,31561,28120,8244,4390,3854,10524,5509,5015,0,0,0,44023,24894,19129,15658,6667,8991,17278,15808,1470,16409,15189,1220,17,13,4,31,26,5,627,531,96,15734,14619,1115,869,619,250,10,8,2,3,2,1,55,17,38,801,592,209,722,513,209,9,7,2,3,2,1,41,12,29,669,492,177,147,106,41,1,1,0,0,0,0,14,5,9,132,100,32,42403,15753,26650
